Number,City,Gender,Age,Income,Illness
1,Dallas,0,41,0,0
2,Dallas,0,54,0,0
3,Dallas,0,42,1,0
4,Dallas,0,40,1,0
5,Dallas,0,46,0,0
6,Dallas,1,36,0,0
7,Dallas,1,32,0,0
8,Dallas,0,39,1,0
9,Dallas,0,51,0,0
10,Dallas,1,30,0,0
11,Dallas,1,48,1,1
12,Dallas,0,47,0,0
13,Dallas,0,46,0,0
14,Dallas,1,42,0,0
15,Dallas,1,61,1,0
16,Dallas,0,43,1,0
17,Dallas,0,27,0,0
18,Dallas,0,38,0,1
19,Dallas,0,47,0,0
20,Dallas,1,35,1,0
21,Dallas,0,57,1,0
22,Dallas,0,33,0,0
23,Dallas,1,33,0,0
24,Dallas,1,27,0,1
25,Dallas,0,58,0,0
26,Dallas,0,64,1,0
27,Dallas,0,58,0,0
28,Dallas,0,44,0,0
29,Dallas,0,34,0,0
30,Dallas,0,45,0,1
31,Dallas,1,44,1,0
32,Dallas,0,39,0,0
33,Dallas,1,55,0,0
34,Dallas,0,27,0,0
35,Dallas,1,63,0,0
36,Dallas,0,41,0,0
37,Dallas,0,64,1,0
38,Dallas,1,41,0,0
39,Dallas,1,61,0,1
40,Dallas,1,59,0,0
41,Dallas,1,26,1,1
42,Dallas,0,41,1,0
43,Dallas,1,47,0,0
44,Dallas,1,58,0,0
45,Dallas,0,33,0,0
46,Dallas,1,30,1,0
47,Dallas,0,51,0,0
48,Dallas,1,45,0,0
49,Dallas,1,38,0,0
50,Dallas,1,56,0,0
51,Dallas,1,55,0,0
52,Dallas,0,42,0,0
53,Dallas,1,58,0,0
54,Dallas,0,57,1,0
55,Dallas,0,32,0,0
56,Dallas,1,55,0,0
57,Dallas,0,62,0,0
58,Dallas,1,43,1,0
59,Dallas,0,35,1,0
60,Dallas,1,31,0,0
61,Dallas,1,46,0,0
62,Dallas,0,49,0,0
63,Dallas,1,54,0,0
64,Dallas,1,63,0,0
65,Dallas,1,58,0,0
66,Dallas,1,53,0,0
67,Dallas,0,61,1,0
68,Dallas,0,44,0,0
69,Dallas,0,51,0,1
70,Dallas,1,44,0,0
71,Dallas,1,38,1,1
72,Dallas,1,57,0,0
73,Dallas,0,44,0,0
74,Dallas,0,27,0,0
75,Dallas,1,41,0,0
76,Dallas,0,43,0,0
77,Dallas,0,46,0,0
78,Dallas,0,55,0,0
79,Dallas,0,53,0,0
80,Dallas,1,43,0,0
81,Dallas,0,46,0,0
82,Dallas,0,46,0,1
83,Dallas,0,43,0,0
84,Dallas,1,51,1,0
85,Dallas,1,40,0,0
86,Dallas,1,34,0,0
87,Dallas,1,58,0,0
88,Dallas,0,29,1,0
89,Dallas,0,28,0,0
90,Dallas,1,30,1,0
91,Dallas,0,28,0,0
92,Dallas,1,25,0,0
93,Dallas,0,37,1,0
94,Dallas,1,62,0,0
95,Dallas,0,45,0,0
96,Dallas,0,48,0,0
97,Dallas,1,30,0,0
98,Dallas,0,44,0,1
99,Dallas,0,62,1,0
100,Dallas,1,48,0,1
101,Dallas,0,46,0,0
102,Dallas,0,48,0,0
103,Dallas,0,61,0,0
104,Dallas,0,63,0,0
105,Dallas,1,56,0,0
106,Dallas,0,63,0,0
107,Dallas,1,48,0,1
108,Dallas,0,47,0,0
109,Dallas,1,38,0,0
110,Dallas,1,64,0,0
111,Dallas,0,46,0,0
112,Dallas,1,59,0,0
113,Dallas,0,39,1,0
114,Dallas,0,38,0,0
115,Dallas,0,58,0,1
116,Dallas,0,59,0,0
117,Dallas,0,48,0,1
118,Dallas,1,31,0,0
119,Dallas,1,54,0,0
120,Dallas,0,46,1,0
121,Dallas,0,43,0,1
122,Dallas,0,38,0,0
123,Dallas,1,28,0,0
124,Dallas,0,62,0,0
125,Dallas,1,62,0,0
126,Dallas,1,32,0,0
127,Dallas,0,45,1,0
128,Dallas,1,31,0,0
129,Dallas,0,37,1,0
130,Dallas,0,44,1,0
131,Dallas,1,59,0,0
132,Dallas,0,37,0,0
133,Dallas,1,35,0,0
134,Dallas,1,65,1,0
135,Dallas,1,40,0,0
136,Dallas,0,59,0,1
137,Dallas,0,56,1,0
138,Dallas,1,56,0,0
139,Dallas,0,53,0,0
140,Dallas,0,45,0,0
141,Dallas,0,60,0,0
142,Dallas,1,53,0,1
143,Dallas,1,37,1,0
144,Dallas,1,40,1,0
145,Dallas,1,56,0,0
146,Dallas,1,28,0,0
147,Dallas,0,42,0,0
148,Dallas,0,60,1,0
149,Dallas,1,58,1,0
150,Dallas,1,48,0,0
151,Dallas,0,37,0,0
152,Dallas,0,51,0,0
153,Dallas,1,54,0,0
154,Dallas,0,63,0,1
